text,rate
"









  
  
    
  Great price for order decent pencils although I'm a pencil snob. I purchased these for my children's classrooms, and the students will likely use them up quickly, bite the end off in day one, and never notice any small flaws.The erasers are a bit wobbly compared to my favorite brand pencil. This may cause the eraser to break off with young students vigorous erasing. They also don't sharpen quite as smoothly in the electric sharpener. My picture shows the Amazon pencil on the right with more of a rough cut wood. The Ticonderoga is the left pencil which sharpens easier. Lastly, I had to press the pencil slightly harder in paper than my favorite pencil to get the same look. However, these Amazon pencils are way better than most other store pencils and better than all dollar store pencils.

  
",4.0 out of 5 stars
"









  
  
    
  As a teacher I need pencils to last, the first pencil I sharpened went down to less than half. It’s less than half and still it’s not sharp—it broke again.

  
",1.0 out of 5 stars
"









  
  
    
  I got these pre-sharpened pencils for convenience, because 50% of my kids don’t bring pencils, and waiting for them all to sharpen new pencils is excruciating. The pencils are great for that. However, when they get dull and I attempt to sharpen them (in a hand-crank sharpener—my electric one broke earlier this year) they do that infuriating thing where the lead breaks/falls out and the wooden part sharpens at an angle, over and over. Super frustrating.

  
",3.0 out of 5 stars
"









  
  
    
  I was so excited to buy these for my classroom, but I would never do it again.  They will not sharpen in the wall mounted hand cranked sharpener, which is what the students typically use. It just chews them up. Even when I use my heavy duty electric sharpener there are problems, mostly because you often get sharp wood but no lead because it is off-centered. I am so disappointed. I was trying to make my life easier, but these definitely didn’t help!

  
",1.0 out of 5 stars
"









  
  
    
  These are not great.  The lead breaks constantly.  I always check the lead before giving it to a student--it would break.  I'd sharpen again.  Another broken lead... I'd finally get the lead to not break when I tested it, but the student would be back again minutes later with broken lead.  Now I have 150 pencils that are not useful for the classroom.  So frustrating!

  
",3.0 out of 5 stars
"









  
  
    
  These pencils are hard to sharpen, they break easy, and they will sharpen un-even. Quality is below average! The price is too much for the quality of these pencils. I definitely don't recommend these to no one. A total waste of money, save your cash and buy another brand!

  
",1.0 out of 5 stars
"









  
  
    
  These are the worst pencils I have ever seen! My kids have been complaining about them for a while, but I thought they just wanted something 'fancy' until I tried them myself.You can't sharpen these pencils. The lead is in mini pieces inside the wood casing so every time you sharpen a little, a piece of lead falls out so you have to sharpen some more. And then you just keep sharpening until there's no pencil left. I got wiser and just throw them out once the initial point gets worn down.Also, the erasers are worthless! Well, yeah, they erase, but only if they stay ON THE PENCIL!! Unfortunately, they're so flimsy that they break off when you try to erase!!

  
",1.0 out of 5 stars
"









  
  
    
  These pencils are just ok. They are rather light weight, which isn't horrible,  but it makes them feel like a lower quality.The paint of many of them is cracked. I know that is kind of a little thing, but again, it makes them feel low quality.They look a little dirty. I'm not sure if it's because they are pre-sharpened, and it's pencil lead that was loose from shipping, or if it's from the machine they are sharpened with.Ok, that was the negatives, on to the positives. The price point is good. You get more pencils for less than you will pay for other brands such as Ticonderoga or Dixon. Our schools always need pencils, so these will go to add to their resource room where I'm sure they will be used.

  
",3.0 out of 5 stars
"









  
  
    
  I'm very impressed with these pencils. Being a Math teacher we go through a lot of pencils. On a side note I'm a true pencil snob.... love my Ticonderoga pencils keeping those pencils for testing only. Definitely buying more Amazon pencils and the eraser is not bad at all. It erased completely didn't leave that annoying smudge.

  
",5.0 out of 5 stars
"









  
  
    
  Read some reviews about these pencils and learned there are some finicky people out there about a simple product.  These are a box of #2 pencils that come pre-sharpened and do everything you'd expect a pencil to do.  You know...like write, erase, get waggled back and forth between your thumb & forefinger, have that ""rubber pencil"" trick thing done to them that every kid does.  I haven't found ANY of the problems mentioned in other reviews.  They re-sharpen great, last a while, taste decent when you bite into them as you're deep in thought and are a CRAZY good deal at this price.  Looking for a box of straight ahead, solid, user friendly pencils at a GREAT price?  Add these to your cart, move on and don't worry about reviews by picky pencil people.

  
",5.0 out of 5 stars
